"","attempter "," ideator  ","p.overall","N "
"","   N=49   ","   N=32   ","         ","  "
"noControlDepdemo[, c(\"SSI.BL.CURRENT\")]","21.2 (7.6)","15.4 (5.7)"," <0.001  ","81"
